1, -27.37, -66.28, 143
2, -31.30, -69.37, 148
3, -30.50, -69.75, 137
4, -27.27, -66.65, 150
5, -27.33, -66.61, 165
6, -27.40, -66.55, 130
7, -27.28, -66.57, 3
8, -26.30, -67.90, 71
9, -38.25, -70.58, 78
10, -30.00, -69.17, 151
11, -31.95, -70.05, 68
12, -24.13, -66.60, 102
13, -31.76, -70.45, 116
14, -27.38, -66.22, 105
15, -25.14, -66.76, 53
16, -39.18, -70.63, 24
17, -29.00, -67.75, 144
18, -24.20, -65.87, 97
19, -32.42, -69.08, 75
20, -32.48, -69.10, 120
21, -37.43, -70.47, 135
22, -32.57, -69.97, 126
23, -32.25, -69.43, 117
24, -24.57, -67.78, 145
25, -24.58, -67.73, 123
26, -32.14, -69.44, 99
27, -16.92, -67.48, 107
28, -18.44, -66.60, 94
29, -19.63, -65.75, 53
30, -20.95, -66.45, 95
31, -20.91, -66.03, 160
32, -18.70, -66.00, 122
33, -18.14, -66.79, 53
34, -17.95, -67.13, 69
35, -20.63, -66.19, 87
36, -20.48, -66.36, 124
37, -30.25, -71.42, 92
38, -24.40, -69.61, 86
39, -22.53, -69.92, 106
40, -27.41, -69.85, 122
41, -23.16, -69.17, 136
42, -27.87, -69.23, 105
43, -20.04, -69.26, 47
44, -24.13, -69.08, 101
45, -22.28, -68.90, 163
46, -20.96, -68.71, 47
47, -21.95, -68.74, 127
48, -20.92, -68.89, 129
49, -33.15, -70.30, 79
50, -18.29, -69.72, 111
51, -21.92, -68.83, 167
52, -21.12, -68.73, 46
53, -26.25, -69.55, 155
54, -22.99, -69.08, 88
55, -34.09, -70.46, 66
56, -22.97, -69.06, 133
57, -23.41, -68.82, 26
58, -26.77, -69.87, 165
59, -24.20, -69.08, 61
60, -24.27, -69.07, 93
61, -28.63, -69.88, 119
62, -27.27, -69.28, 116
63, -20.18, -69.08, 159
64, -22.67, -68.75, 165
65, -27.23, -69.03, 159
66, -23.45, -69.51, 95
67, -33.13, -70.27, 129
68, -31.71, -70.50, 72
69, -22.38, -68.91, 169
70, -22.56, -69.24, 69
71, -27.17, -69.02, 139
72, -19.81, -69.28, 101
73, -22.47, -68.97, 96
74, -23.30, -69.12, 124
75, -26.49, -69.42, 120
76, -27.48, -70.25, 115
77, -21.92, -69.83, 73
78, -21.00, -68.80, 89
79, -19.87, -68.97, 79
80, -27.38, -69.27, 123
81, -28.50, -70.30, 161
82, -33.14, -70.27, 96
83, -25.22, -69.23, 114
84, -22.88, -69.34, 162
85, -22.84, -69.30, 68
86, -22.42, -68.95, 89
87, -46.03, -72.15, 69
88, -20.99, -68.64, 81
89, -32.88, -70.23, 107
90, -24.24, -69.09, 27
91, 8.49, -77.32, 96
92, 3.52, -75.03, 99
93, 4.18, -75.30, 133
94, 1.24, -76.67, 117
95, 7.05, -76.75, 103
96, 6.70, -76.50, 161
97, 2.10, -76.88, 128
98, -1.67, -79.15, 60
99, -1.38, -79.12, 140
100, -2.93, -79.42, 108
101, -4.02, -78.88, 155
102, -4.25, -78.95, 116
103, -3.58, -79.33, 164
104, -3.05, -79.68, 75
105, 0.33, -78.58, 89
106, -4.33, -80.00, 72
107, -4.65, -78.90, 49
108, -3.60, -78.50, 146
109, -4.20, -79.58, 130
110, -3.65, -78.42, 80
111, -1.57, -79.13, 126
112, -4.25, -79.25, 165
113, -3.78, -78.60, 139
114, -8.56, -77.90, 128
115, -13.23, -75.92, 27
116, -15.82, -73.58, 47
117, -8.17, -78.18, 114
118, -14.18, -75.15, 148
119, -14.96, -71.35, 124
120, -6.08, -79.28, 27
121, -17.68, -69.90, 47
122, -6.76, -78.61, 155
123, -10.63, -76.25, 27
124, -16.55, -71.55, 106
125, -16.54, -71.59, 115
126, -14.03, -72.33, 67
127, -16.77, -71.36, 87
128, -14.23, -75.42, 108
129, -14.46, -71.77, 156
130, -14.95, -71.26, 143
131, -14.18, -72.35, 83
132, -17.05, -70.71, 80
133, -17.04, -70.70, 149
134, -7.02, -78.32, 84
135, -13.77, -75.72, 107
136, -6.36, -79.12, 56
137, -7.12, -78.58, 135
138, -14.46, -72.99, 120
139, -14.16, -73.13, 164
140, -12.98, -76.14, 49
141, -8.22, -77.77, 104
142, -7.30, -78.32, 91
143, -6.91, -78.36, 137
144, -15.00, -69.66, 156
145, -8.79, -78.00, 102
146, -13.93, -75.35, 91
147, -11.48, -76.08, 99
148, -14.98, -71.31, 90
149, -17.11, -70.62, 81
150, -4.94, -79.31, 145
151, -6.73, -78.67, 161
152, -13.69, -75.09, 30
153, -14.91, -71.31, 151
154, -17.25, -70.61, 160
155, -11.60, -76.13, 18
